INFO  2019-12-25 17:52:23,851 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 DEBUG http://localhost:62114/  0
INFO  2019-12-25 17:52:23,982 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 129.9222ms 200 
WARN  2019-12-25 17:52:23,987 [3    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported cultures 'zh-CN, zh'.
WARN  2019-12-25 17:52:23,987 [3    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN, zh'.
INFO  2019-12-25 17:52:24,703 [4    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/Index.html'. Physical path: 'E:\Visual Studio\Project\IEManageSystem\src\IEManageSystem.Web\ClientApp\build\Index.html'
INFO  2019-12-25 17:52:24,726 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 881.5578ms 200 text/html
INFO  2019-12-25 17:52:24,735 [3    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/js/index.bundle.js  
WARN  2019-12-25 17:52:24,735 [3    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported cultures 'zh-CN, zh'.
WARN  2019-12-25 17:52:24,735 [3    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN, zh'.
INFO  2019-12-25 17:52:25,472 [8    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/js/index.bundle.js'. Physical path: 'E:\Visual Studio\Project\IEManageSystem\src\IEManageSystem.Web\ClientApp\build\js\index.bundle.js'
INFO  2019-12-25 17:52:25,473 [8    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 737.9015ms 200 application/javascript
INFO  2019-12-25 17:52:26,139 [3    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 POST http://localhost:62114/api/User/GetUserScopeAccessAuthorities application/json 2
WARN  2019-12-25 17:52:26,140 [3    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported cultures 'zh-CN, zh'.
WARN  2019-12-25 17:52:26,140 [3    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN, zh'.
INFO  2019-12-25 17:52:26,145 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 POST http://localhost:62114/api/SiteSettingManage/GetSiteSettings application/json 2
WARN  2019-12-25 17:52:26,145 [4    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported cultures 'zh-CN, zh'.
WARN  2019-12-25 17:52:26,145 [4    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN, zh'.
INFO  2019-12-25 17:52:26,158 [4    ] uthentication.JwtBearer.JwtBearerHandler - Bearer was not authenticated. Failure message: No SecurityTokenValidator available for token: null
INFO  2019-12-25 17:52:26,158 [3    ] uthentication.JwtBearer.JwtBearerHandler - Bearer was not authenticated. Failure message: No SecurityTokenValidator available for token: null
INFO  2019-12-25 17:52:26,172 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 POST http://localhost:62114/api/PageQuery/GetPage application/json 15
INFO  2019-12-25 17:52:26,172 [9    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 POST http://localhost:62114/api/PageQuery/GetPageData application/json 19
WARN  2019-12-25 17:52:26,172 [14   ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported cultures 'zh-CN, zh'.
WARN  2019-12-25 17:52:26,172 [14   ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN, zh'.
WARN  2019-12-25 17:52:26,172 [9    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported cultures 'zh-CN, zh'.
WARN  2019-12-25 17:52:26,172 [9    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN, zh'.
INFO  2019-12-25 17:52:26,172 [14   ] uthentication.JwtBearer.JwtBearerHandler - Bearer was not authenticated. Failure message: No SecurityTokenValidator available for token: null
INFO  2019-12-25 17:52:26,172 [9    ] uthentication.JwtBearer.JwtBearerHandler - Bearer was not authenticated. Failure message: No SecurityTokenValidator available for token: null
INFO  2019-12-25 17:52:26,197 [8    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/favicon.ico  
WARN  2019-12-25 17:52:26,197 [8    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported cultures 'zh-CN, zh'.
WARN  2019-12-25 17:52:26,197 [8    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN, zh'.
INFO  2019-12-25 17:52:26,198 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/Index.html'. Physical path: 'E:\Visual Studio\Project\IEManageSystem\src\IEManageSystem.Web\ClientApp\build\Index.html'
INFO  2019-12-25 17:52:26,198 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1.3672ms 200 text/html
INFO  2019-12-25 17:52:26,274 [4    ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {area = "app", action = "GetSiteSettings", controller = "SiteSettingManage"}. Executing action IEManageSystem.Services.ManageHome.Setting.SiteSettings.SiteSettingManageAppService.GetSiteSettings (IEManageSystem.Application)
INFO  2019-12-25 17:52:26,274 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {area = "app", action = "GetPage", controller = "PageQuery"}. Executing action IEManageSystem.Services.ManageHome.CMS.PageQuerys.PageQueryAppService.GetPage (IEManageSystem.Application)
INFO  2019-12-25 17:52:26,274 [9    ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {area = "app", action = "GetPageData", controller = "PageQuery"}. Executing action IEManageSystem.Services.ManageHome.CMS.PageQuerys.PageQueryAppService.GetPageData (IEManageSystem.Application)
INFO  2019-12-25 17:52:26,274 [3    ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "GetUserScopeAccessAuthorities", controller = "User", area = ""}. Executing action IEManageSystem.Api.Controllers.Users.UserController.GetUserScopeAccessAuthorities (IEManageSystem.Web)
INFO  2019-12-25 17:52:26,327 [4    ] uthorization.DefaultAuthorizationService - Authorization failed.
INFO  2019-12-25 17:52:26,338 [4    ] ore.Mvc.Internal.ControllerActionInvoker - Authorization failed for the request at filter 'IEManageSystem.Web.Filters.ApiAuthorizationFilter'.
INFO  2019-12-25 17:52:26,440 [4    ] .Mvc.Infrastructure.ObjectResultExecutor - Executing ObjectResult, writing value of type 'Abp.Web.Models.AjaxResponse'.
INFO  2019-12-25 17:52:26,752 [4    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action IEManageSystem.Services.ManageHome.Setting.SiteSettings.SiteSettingManageAppService.GetSiteSettings (IEManageSystem.Application) in 474.2467ms
INFO  2019-12-25 17:52:26,758 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 613.252ms 401 application/json; charset=utf-8
INFO  2019-12-25 17:52:26,765 [4    ] Microsoft.AspNetCore.Server.Kestrel      - Connection id "0HLS940I3PQEQ", Request id "0HLS940I3PQEQ:00000003": the application completed without reading the entire request body.
INFO  2019-12-25 17:52:26,816 [9    ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method IEManageSystem.Services.ManageHome.CMS.PageQuerys.PageQueryAppService.GetPageData (IEManageSystem.Application) with arguments (IEManageSystem.Services.ManageHome.CMS.PageQuerys.Dto.GetPageDataInput) - Validation state: Valid
INFO  2019-12-25 17:52:26,816 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method IEManageSystem.Services.ManageHome.CMS.PageQuerys.PageQueryAppService.GetPage (IEManageSystem.Application) with arguments (IEManageSystem.Services.ManageHome.CMS.PageQuerys.Dto.GetPageInput) - Validation state: Valid
INFO  2019-12-25 17:52:26,816 [3    ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method IEManageSystem.Api.Controllers.Users.UserController.GetUserScopeAccessAuthorities (IEManageSystem.Web) with arguments (IEManageSystem.Api.Controllers.Users.Dto.GetUserScopeAccessAuthoritiesInput) - Validation state: Valid
INFO  2019-12-25 17:52:27,031 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method IEManageSystem.Services.ManageHome.CMS.PageQuerys.PageQueryAppService.GetPage (IEManageSystem.Application), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 212.5931ms.
INFO  2019-12-25 17:52:27,052 [14   ] Abp.Auditing.SimpleLogAuditingStore      - AUDIT LOG: IEManageSystem.Services.ManageHome.CMS.PageQuerys.PageQueryAppService.GetPage is executed by an anonymous user in 252 ms from ::1 IP address with succeed.
INFO  2019-12-25 17:52:27,058 [3    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method IEManageSystem.Api.Controllers.Users.UserController.GetUserScopeAccessAuthorities (IEManageSystem.Web), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 241.9901ms.
INFO  2019-12-25 17:52:27,063 [14   ] .Mvc.Infrastructure.ObjectResultExecutor - Executing ObjectResult, writing value of type 'Abp.Web.Models.AjaxResponse'.
INFO  2019-12-25 17:52:27,063 [3    ] Abp.Auditing.SimpleLogAuditingStore      - AUDIT LOG: IEManageSystem.Api.Controllers.Users.UserController.GetUserScopeAccessAuthorities is executed by an anonymous user in 270 ms from ::1 IP address with succeed.
INFO  2019-12-25 17:52:27,064 [3    ] .Mvc.Infrastructure.ObjectResultExecutor - Executing ObjectResult, writing value of type 'Abp.Web.Models.AjaxResponse'.
INFO  2019-12-25 17:52:27,070 [9    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method IEManageSystem.Services.ManageHome.CMS.PageQuerys.PageQueryAppService.GetPageData (IEManageSystem.Application), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 253.8428ms.
INFO  2019-12-25 17:52:27,074 [9    ] Abp.Auditing.SimpleLogAuditingStore      - AUDIT LOG: IEManageSystem.Services.ManageHome.CMS.PageQuerys.PageQueryAppService.GetPageData is executed by an anonymous user in 280 ms from ::1 IP address with succeed.
INFO  2019-12-25 17:52:27,074 [9    ] .Mvc.Infrastructure.ObjectResultExecutor - Executing ObjectResult, writing value of type 'Abp.Web.Models.AjaxResponse'.
INFO  2019-12-25 17:52:27,082 [3    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action IEManageSystem.Api.Controllers.Users.UserController.GetUserScopeAccessAuthorities (IEManageSystem.Web) in 806.362ms
INFO  2019-12-25 17:52:27,082 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action IEManageSystem.Services.ManageHome.CMS.PageQuerys.PageQueryAppService.GetPage (IEManageSystem.Application) in 806.374ms
INFO  2019-12-25 17:52:27,082 [9    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action IEManageSystem.Services.ManageHome.CMS.PageQuerys.PageQueryAppService.GetPageData (IEManageSystem.Application) in 806.3688ms
INFO  2019-12-25 17:52:27,082 [9    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 910.485ms 200 application/json; charset=utf-8
INFO  2019-12-25 17:52:27,082 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 910.8182ms 200 application/json; charset=utf-8
